ENCODER,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
CatBoostEncoder,dermatology,geometric_smote,DTREE,NONE,NONE,0.9104,0.90158,0.98112,0.90086,0.93836,0.8792
CatBoostEncoder,dermatology,geometric_smote,KNN,NONE,NONE,0.7298399999999999,0.6994199999999999,0.9421199999999998,0.7063400000000001,0.80352,0.65364
CatBoostEncoder,dermatology,geometric_smote,LRG,NONE,NONE,0.8932599999999999,0.88534,0.97894,0.8860399999999999,0.9284,0.8629199999999999
CatBoostEncoder,dermatology,geometric_smote,MLP,NONE,NONE,0.92072,0.9126200000000001,0.98424,0.9142,0.9465,0.8942599999999998
CatBoostEncoder,dermatology,geometric_smote,RF,NONE,NONE,0.96306,0.9562799999999999,0.9918,0.95488,0.97206,0.9461
CatBoostEncoder,dermatology,geometric_smote,SGD,NONE,NONE,0.6729200000000001,0.70554,0.93142,0.6557000000000001,0.71082,0.6382000000000001
CatBoostEncoder,dermatology,geometric_smote,SVM,NONE,NONE,0.63346,0.5875600000000001,0.91988,0.5653600000000001,0.6844600000000001,0.53578
CatBoostEncoder,dresses-sales,geometric_smote,ABC,NONE,NONE,0.59026,0.586,0.55442,0.5744600000000001,0.5424399999999999,0.29654
CatBoostEncoder,dresses-sales,geometric_smote,DTREE,NONE,NONE,0.5566,0.552,0.53768,0.5529999999999999,0.54166,0.29486
CatBoostEncoder,dresses-sales,geometric_smote,KNN,NONE,NONE,0.6027199999999999,0.6060000000000001,0.57282,0.60254,0.57928,0.33906000000000003
CatBoostEncoder,dresses-sales,geometric_smote,LRG,NONE,NONE,0.5809199999999999,0.5760000000000001,0.5602799999999999,0.5735600000000001,0.5579,0.31310000000000004
CatBoostEncoder,dresses-sales,geometric_smote,MLP,NONE,NONE,0.5579000000000001,0.5539999999999999,0.5378000000000001,0.5539400000000001,0.54062,0.2934
CatBoostEncoder,dresses-sales,geometric_smote,RF,NONE,NONE,0.58782,0.5980000000000001,0.5381199999999999,0.58228,0.5331199999999999,0.28712
CatBoostEncoder,dresses-sales,geometric_smote,SGD,NONE,NONE,0.5848,0.52,0.5434,0.41758,0.2827,0.10242
CatBoostEncoder,dresses-sales,geometric_smote,SVM,NONE,NONE,0.51446,0.478,0.5234599999999999,0.46062,0.45996000000000004,0.21184000000000008
CatBoostEncoder,heart,geometric_smote,ABC,NONE,NONE,0.8151999999999999,0.8111200000000001,0.8005600000000002,0.80962,0.8021,0.6453599999999999
CatBoostEncoder,heart,geometric_smote,DTREE,NONE,NONE,0.7777000000000001,0.7704000000000001,0.7712800000000001,0.76982,0.7677400000000001,0.59162
CatBoostEncoder,heart,geometric_smote,KNN,NONE,NONE,0.56948,0.5666800000000001,0.5583199999999999,0.56402,0.5549,0.31028
CatBoostEncoder,heart,geometric_smote,LRG,NONE,NONE,0.8079400000000001,0.8,0.805,0.79996,0.8002800000000001,0.64302
CatBoostEncoder,heart,geometric_smote,MLP,NONE,NONE,0.7228399999999999,0.7000200000000001,0.70168,0.6941199999999998,0.6852600000000001,0.4712400000000001
CatBoostEncoder,heart,geometric_smote,RF,NONE,NONE,0.8161799999999999,0.8148199999999999,0.8102,0.8146399999999999,0.8115399999999999,0.6614399999999999
CatBoostEncoder,heart,geometric_smote,SGD,NONE,NONE,0.24194,0.48888,0.51112,0.32282,0.0,0.0
CatBoostEncoder,heart,geometric_smote,SVM,NONE,NONE,0.6164000000000001,0.6073999999999999,0.60924,0.6068800000000001,0.6037600000000001,0.37146
CatBoostEncoder,hepatitis,geometric_smote,ABC,NONE,NONE,0.8187,0.8064600000000001,0.60456,0.80604,0.6793800000000001,0.47168
CatBoostEncoder,hepatitis,geometric_smote,DTREE,NONE,NONE,0.79794,0.77422,0.5262600000000001,0.7688599999999999,0.5965199999999999,0.36848
CatBoostEncoder,hepatitis,geometric_smote,KNN,NONE,NONE,0.6635199999999999,0.5999800000000001,0.3697,0.6220199999999999,0.4246800000000001,0.18950000000000009
CatBoostEncoder,hepatitis,geometric_smote,LRG,NONE,NONE,0.7832600000000001,0.7612800000000001,0.5646199999999999,0.7680200000000001,0.6330199999999999,0.42164
CatBoostEncoder,hepatitis,geometric_smote,MLP,NONE,NONE,0.78976,0.8064599999999998,0.50388,0.79356,0.59134,0.37216
CatBoostEncoder,hepatitis,geometric_smote,RF,NONE,NONE,0.8553599999999999,0.85164,0.71738,0.8516799999999999,0.77044,0.6109000000000001
CatBoostEncoder,hepatitis,geometric_smote,SGD,NONE,NONE,0.764,0.5806399999999999,0.61312,0.56206,0.42928,0.24488
CatBoostEncoder,hepatitis,geometric_smote,SVM,NONE,NONE,0.72236,0.56776,0.58816,0.6048199999999999,0.57006,0.32742
CatBoostEncoder,horse-colic-surgical,geometric_smote,ABC,NONE,NONE,0.8538399999999999,0.85,0.78764,0.8458200000000001,0.8090399999999999,0.66152
CatBoostEncoder,horse-colic-surgical,geometric_smote,DTREE,NONE,NONE,0.8300599999999999,0.8299799999999999,0.78498,0.8284,0.8029399999999999,0.6491
CatBoostEncoder,horse-colic-surgical,geometric_smote,KNN,NONE,NONE,0.746,0.74,0.71314,0.7412799999999999,0.7235199999999999,0.5253599999999999
CatBoostEncoder,horse-colic-surgical,geometric_smote,LRG,NONE,NONE,0.7329399999999999,0.72,0.6217600000000001,0.7074600000000001,0.63984,0.4157
CatBoostEncoder,horse-colic-surgical,geometric_smote,MLP,NONE,NONE,0.6391600000000001,0.58332,0.57338,0.50456,0.364,0.20614
CatBoostEncoder,horse-colic-surgical,geometric_smote,RF,NONE,NONE,0.8699,0.86334,0.7918000000000001,0.8587,0.8168599999999999,0.6728599999999999
CatBoostEncoder,horse-colic-surgical,geometric_smote,SGD,NONE,NONE,0.35204,0.58332,0.4166800000000001,0.4364800000000001,0.0,0.0
CatBoostEncoder,horse-colic-surgical,geometric_smote,SVM,NONE,NONE,0.6220600000000001,0.42668,0.6411800000000001,0.34781999999999996,0.35894000000000004,0.12946
CatBoostEncoder,kddcup-land_vs_portsweep,geometric_smote,ABC,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,geometric_smote,DTREE,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,geometric_smote,KNN,NONE,NONE,0.99874,0.9981200000000001,0.9999600000000001,0.9983,0.9990400000000002,0.9979
CatBoostEncoder,kddcup-land_vs_portsweep,geometric_smote,LRG,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,geometric_smote,MLP,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,geometric_smote,RF,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,geometric_smote,SGD,NONE,NONE,0.99744,0.9962200000000001,0.95088,0.99654,0.97176,0.95044
CatBoostEncoder,kddcup-land_vs_portsweep,geometric_smote,SVM,NONE,NONE,0.99874,0.9981200000000001,0.9999600000000001,0.9983,0.9990400000000002,0.9979
CatBoostEncoder,thyroid-hypothyroid,geometric_smote,ABC,NONE,NONE,0.96236,0.96364,0.29408,0.9527,0.48954,0.27346000000000004
CatBoostEncoder,thyroid-hypothyroid,geometric_smote,DTREE,NONE,NONE,0.98996,0.9899,0.8922399999999999,0.98982,0.9385600000000001,0.8908200000000001
CatBoostEncoder,thyroid-hypothyroid,geometric_smote,KNN,NONE,NONE,0.9832,0.98164,0.8800399999999999,0.9821799999999999,0.92852,0.87166
CatBoostEncoder,thyroid-hypothyroid,geometric_smote,LRG,NONE,NONE,0.98046,0.97598,0.8919600000000001,0.97752,0.93272,0.8774599999999999
CatBoostEncoder,thyroid-hypothyroid,geometric_smote,MLP,NONE,NONE,0.9603,0.96272,0.2996800000000001,0.9525600000000001,0.49808,0.28040000000000004
CatBoostEncoder,thyroid-hypothyroid,geometric_smote,RF,NONE,NONE,0.97396,0.9737600000000001,0.52594,0.96788,0.67498,0.5161600000000001
CatBoostEncoder,thyroid-hypothyroid,geometric_smote,SGD,NONE,NONE,0.9741799999999999,0.9494,0.86488,0.95794,0.9027799999999999,0.8229399999999998
CatBoostEncoder,thyroid-hypothyroid,geometric_smote,SVM,NONE,NONE,0.97714,0.96112,0.9666,0.9661,0.9638200000000001,0.92858
CatBoostEncoder,abalone-3_vs_11,smote,ABC,NONE,NONE,0.9985,0.998,0.9999399999999999,0.99814,0.99896,0.99774
CatBoostEncoder,abalone-3_vs_11,smote,DTREE,NONE,NONE,0.9985,0.998,0.9999399999999999,0.99814,0.99896,0.99774
CatBoostEncoder,abalone-3_vs_11,smote,KNN,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,smote,LRG,NONE,NONE,0.9940200000000001,0.9920200000000001,0.99976,0.99258,0.9958600000000001,0.99098
CatBoostEncoder,abalone-3_vs_11,smote,MLP,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,smote,RF,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,smote,SGD,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,smote,SVM,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,credit-approval,smote,ABC,NONE,NONE,0.8489600000000002,0.8449199999999999,0.8431799999999999,0.8446999999999999,0.8425,0.7101999999999999
CatBoostEncoder,credit-approval,smote,DTREE,NONE,NONE,0.7944,0.79274,0.7760199999999999,0.78996,0.7785,0.6116999999999999
CatBoostEncoder,credit-approval,smote,KNN,NONE,NONE,0.69202,0.6927800000000001,0.6752199999999999,0.6902999999999999,0.67862,0.46182
CatBoostEncoder,credit-approval,smote,LRG,NONE,NONE,0.85788,0.8565200000000001,0.8538399999999999,0.8565200000000001,0.85472,0.7322
CatBoostEncoder,credit-approval,smote,MLP,NONE,NONE,0.6907399999999999,0.6753600000000001,0.6571999999999999,0.6614199999999999,0.6367200000000001,0.41546000000000005
CatBoostEncoder,credit-approval,smote,RF,NONE,NONE,0.8601599999999999,0.8565200000000001,0.8448200000000001,0.8552800000000002,0.84764,0.7201799999999999
CatBoostEncoder,credit-approval,smote,SGD,NONE,NONE,0.6181399999999999,0.5927399999999999,0.61692,0.5868800000000001,0.5890799999999999,0.35012000000000004
CatBoostEncoder,credit-approval,smote,SVM,NONE,NONE,0.70136,0.6637799999999999,0.5986,0.6270200000000001,0.5560599999999999,0.31365999999999994
CatBoostEncoder,dataset_31_credit-g,smote,ABC,NONE,NONE,0.6997,0.626,0.65494,0.63708,0.63138,0.39986
CatBoostEncoder,dataset_31_credit-g,smote,DTREE,NONE,NONE,0.6443,0.619,0.5395800000000001,0.62776,0.5672,0.32712
CatBoostEncoder,dataset_31_credit-g,smote,KNN,NONE,NONE,0.69902,0.5879999999999999,0.67486,0.6014600000000001,0.6183,0.37946
CatBoostEncoder,dataset_31_credit-g,smote,LRG,NONE,NONE,0.7403,0.6579999999999999,0.722,0.67196,0.6849999999999999,0.46688
CatBoostEncoder,dataset_31_credit-g,smote,MLP,NONE,NONE,0.7381,0.665,0.71358,0.6786800000000001,0.6856799999999998,0.46884
CatBoostEncoder,dataset_31_credit-g,smote,RF,NONE,NONE,0.70586,0.7070000000000001,0.58872,0.70512,0.6281,0.4008600000000001
CatBoostEncoder,dataset_31_credit-g,smote,SGD,NONE,NONE,0.6410399999999999,0.6050000000000001,0.5545199999999999,0.5480999999999999,0.33946,0.19726
CatBoostEncoder,dataset_31_credit-g,smote,SVM,NONE,NONE,0.73016,0.6580000000000001,0.7010600000000001,0.67174,0.67592,0.45556
CatBoostEncoder,dermatology,smote,ABC,NONE,NONE,0.23032,0.30602,0.89184,0.2393,0.27891999999999995,0.2445400000000001
CatBoostEncoder,dermatology,smote,DTREE,NONE,NONE,0.92456,0.92342,0.98682,0.9208,0.95058,0.9091
CatBoostEncoder,dermatology,smote,KNN,NONE,NONE,0.7525999999999999,0.72116,0.9477,0.7308,0.8212400000000001,0.6783
CatBoostEncoder,dermatology,smote,LRG,NONE,NONE,0.93064,0.9234600000000001,0.9861,0.92466,0.95294,0.90732
CatBoostEncoder,dermatology,smote,MLP,NONE,NONE,0.91526,0.9070600000000001,0.98302,0.90754,0.94214,0.8878999999999999
CatBoostEncoder,dermatology,smote,RF,NONE,NONE,0.96248,0.9562799999999999,0.99184,0.9548399999999999,0.9722200000000001,0.94606
CatBoostEncoder,dermatology,smote,SGD,NONE,NONE,0.6645,0.5676800000000001,0.9301,0.5168200000000001,0.6060399999999999,0.5001
CatBoostEncoder,dermatology,smote,SVM,NONE,NONE,0.66082,0.56834,0.9166,0.5510400000000001,0.68048,0.51656
CatBoostEncoder,dresses-sales,smote,ABC,NONE,NONE,0.5323800000000001,0.5280000000000001,0.50844,0.5241200000000001,0.5042800000000001,0.25880000000000003
CatBoostEncoder,dresses-sales,smote,DTREE,NONE,NONE,0.47602,0.46799999999999997,0.465,0.46504,0.45461999999999997,0.21092
CatBoostEncoder,dresses-sales,smote,KNN,NONE,NONE,0.5691200000000001,0.556,0.55894,0.5582600000000001,0.5561800000000001,0.3099
CatBoostEncoder,dresses-sales,smote,LRG,NONE,NONE,0.55472,0.55,0.5349,0.5489999999999999,0.5350600000000001,0.28704
CatBoostEncoder,dresses-sales,smote,MLP,NONE,NONE,0.5689799999999999,0.562,0.5514399999999999,0.56258,0.55278,0.30666
CatBoostEncoder,dresses-sales,smote,RF,NONE,NONE,0.5762400000000001,0.5760000000000001,0.5432,0.5666399999999999,0.5359,0.28954
CatBoostEncoder,dresses-sales,smote,SGD,NONE,NONE,0.6027,0.534,0.52462,0.4672000000000001,0.37978,0.16066
CatBoostEncoder,dresses-sales,smote,SVM,NONE,NONE,0.51782,0.476,0.52992,0.4534,0.45212,0.20494
CatBoostEncoder,heart,smote,ABC,NONE,NONE,0.8410399999999999,0.8333200000000001,0.8300000000000001,0.83226,0.8278000000000001,0.6882600000000001
CatBoostEncoder,heart,smote,DTREE,NONE,NONE,0.8064600000000001,0.8037000000000001,0.79964,0.8033399999999999,0.8000599999999999,0.64442
CatBoostEncoder,heart,smote,KNN,NONE,NONE,0.57412,0.57038,0.5663,0.5695600000000001,0.56428,0.32012
CatBoostEncoder,heart,smote,LRG,NONE,NONE,0.8222400000000001,0.81852,0.81814,0.81842,0.81698,0.66806
CatBoostEncoder,heart,smote,MLP,NONE,NONE,0.77064,0.74442,0.75556,0.7404,0.7373,0.5463600000000001
CatBoostEncoder,heart,smote,RF,NONE,NONE,0.8334199999999999,0.8333400000000001,0.8249799999999999,0.8327600000000001,0.8279,0.6883199999999999
CatBoostEncoder,heart,smote,SGD,NONE,NONE,0.29064,0.48888,0.52946,0.3540800000000001,0.10776,0.05816
CatBoostEncoder,heart,smote,SVM,NONE,NONE,0.61932,0.6073999999999999,0.61258,0.6069800000000001,0.60526,0.3752
CatBoostEncoder,hepatitis,smote,ABC,NONE,NONE,0.7942799999999999,0.7806599999999999,0.5713600000000001,0.7793,0.63748,0.42862
CatBoostEncoder,hepatitis,smote,DTREE,NONE,NONE,0.7809999999999999,0.7354799999999999,0.60544,0.7329000000000001,0.5442,0.40016
CatBoostEncoder,hepatitis,smote,KNN,NONE,NONE,0.7243799999999999,0.5677399999999999,0.58948,0.6069,0.5723600000000001,0.32886
CatBoostEncoder,hepatitis,smote,LRG,NONE,NONE,0.85024,0.8,0.7711600000000001,0.8120200000000001,0.7781399999999999,0.6115600000000001
CatBoostEncoder,hepatitis,smote,MLP,NONE,NONE,0.75542,0.7613,0.51176,0.7550600000000001,0.56466,0.36558
CatBoostEncoder,hepatitis,smote,RF,NONE,NONE,0.8487600000000001,0.8322800000000001,0.71208,0.8352600000000001,0.7589199999999999,0.59258
CatBoostEncoder,hepatitis,smote,SGD,NONE,NONE,0.8116399999999999,0.45808,0.7340800000000001,0.44298000000000004,0.46654,0.21902
CatBoostEncoder,hepatitis,smote,SVM,NONE,NONE,0.72846,0.5741799999999999,0.5999,0.61168,0.5655399999999999,0.33642
CatBoostEncoder,horse-colic-surgical,smote,ABC,NONE,NONE,0.8461399999999999,0.8433400000000001,0.80274,0.8413200000000001,0.8172799999999999,0.6721600000000001
CatBoostEncoder,horse-colic-surgical,smote,DTREE,NONE,NONE,0.81724,0.8066800000000001,0.7531399999999999,0.8026,0.76844,0.59554
CatBoostEncoder,horse-colic-surgical,smote,KNN,NONE,NONE,0.76176,0.75668,0.7266,0.75756,0.7385999999999999,0.5493600000000001
CatBoostEncoder,horse-colic-surgical,smote,LRG,NONE,NONE,0.69234,0.73666,0.59012,0.6952,0.535,0.364
CatBoostEncoder,horse-colic-surgical,smote,MLP,NONE,NONE,0.6291800000000001,0.5233200000000001,0.5871,0.4186,0.2827,0.1276
CatBoostEncoder,horse-colic-surgical,smote,RF,NONE,NONE,0.8668199999999999,0.8633199999999999,0.8120800000000001,0.8611000000000001,0.83186,0.6972600000000001
CatBoostEncoder,horse-colic-surgical,smote,SGD,NONE,NONE,0.2987,0.53,0.47,0.37758,0.0,0.0
CatBoostEncoder,horse-colic-surgical,smote,SVM,NONE,NONE,0.6220600000000001,0.42668,0.6411800000000001,0.34781999999999996,0.35894000000000004,0.12946
CatBoostEncoder,kddcup-land_vs_portsweep,smote,ABC,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,smote,DTREE,NONE,NONE,0.975,0.9868,0.41224,0.9808,0.39952,0.39894
CatBoostEncoder,kddcup-land_vs_portsweep,smote,KNN,NONE,NONE,0.99874,0.9981200000000001,0.9999600000000001,0.9983,0.9990400000000002,0.9979
CatBoostEncoder,kddcup-land_vs_portsweep,smote,LRG,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,smote,MLP,NONE,NONE,0.99924,0.9990600000000001,0.99998,0.9991,0.9995200000000001,0.9989399999999999
CatBoostEncoder,kddcup-land_vs_portsweep,smote,RF,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,kddcup-land_vs_portsweep,smote,SGD,NONE,NONE,0.99738,0.99718,0.90186,0.9969,0.94094,0.90376
CatBoostEncoder,kddcup-land_vs_portsweep,smote,SVM,NONE,NONE,0.99874,0.9981200000000001,0.9999600000000001,0.9983,0.9990400000000002,0.9979
CatBoostEncoder,thyroid-hypothyroid,smote,ABC,NONE,NONE,0.94988,0.95888,0.19776,0.94406,0.34454,0.16798000000000002
CatBoostEncoder,thyroid-hypothyroid,smote,DTREE,NONE,NONE,0.96466,0.9646,0.31162,0.95468,0.5134199999999999,0.29374
CatBoostEncoder,thyroid-hypothyroid,smote,KNN,NONE,NONE,0.97954,0.97342,0.9047,0.9754,0.93776,0.8859199999999999
CatBoostEncoder,thyroid-hypothyroid,smote,LRG,NONE,NONE,0.9540200000000001,0.95732,0.1734,0.9418,0.34242,0.14152
CatBoostEncoder,thyroid-hypothyroid,smote,MLP,NONE,NONE,0.9473799999999999,0.9548,0.12934,0.93732,0.28086,0.0925
CatBoostEncoder,thyroid-hypothyroid,smote,RF,NONE,NONE,0.9577,0.95794,0.1732,0.9423,0.34550000000000003,0.1415
CatBoostEncoder,thyroid-hypothyroid,smote,SGD,NONE,NONE,0.97894,0.9728,0.8728,0.9748,0.92048,0.8561399999999999
CatBoostEncoder,thyroid-hypothyroid,smote,SVM,NONE,NONE,0.97656,0.963,0.94156,0.96734,0.95216,0.9087799999999999
CatBoostEncoder,abalone-3_vs_11,smoteSVM,ABC,NONE,NONE,0.9985,0.998,0.9999399999999999,0.99814,0.99896,0.99774
CatBoostEncoder,abalone-3_vs_11,smoteSVM,DTREE,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,smoteSVM,KNN,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,smoteSVM,LRG,NONE,NONE,0.99074,0.98604,0.9995799999999999,0.98742,0.99276,0.98426
CatBoostEncoder,abalone-3_vs_11,smoteSVM,MLP,NONE,NONE,0.9985,0.998,0.9999399999999999,0.99814,0.99896,0.99774
CatBoostEncoder,abalone-3_vs_11,smoteSVM,RF,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,smoteSVM,SGD,NONE,NONE,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,abalone-3_vs_11,smoteSVM,SVM,NONE,NONE,0.9985,0.998,0.9999399999999999,0.99814,0.99896,0.99774
CatBoostEncoder,credit-approval,smoteSVM,ABC,NONE,NONE,0.8447399999999999,0.8391200000000001,0.8378399999999999,0.83888,0.83654,0.70018
CatBoostEncoder,credit-approval,smoteSVM,DTREE,NONE,NONE,0.8421,0.8362399999999999,0.81708,0.8339399999999999,0.8212400000000001,0.6769799999999999
CatBoostEncoder,credit-approval,smoteSVM,KNN,NONE,NONE,0.69004,0.6913199999999999,0.67628,0.6898199999999999,0.6803600000000001,0.4645
CatBoostEncoder,credit-approval,smoteSVM,LRG,NONE,NONE,0.8557799999999999,0.8463999999999998,0.8525200000000001,0.8462799999999999,0.8468600000000001,0.7178
CatBoostEncoder,credit-approval,smoteSVM,MLP,NONE,NONE,0.7156399999999999,0.6985399999999999,0.6904600000000001,0.6858799999999999,0.66538,0.45496
CatBoostEncoder,credit-approval,smoteSVM,RF,NONE,NONE,0.8522200000000001,0.8449199999999999,0.8313,0.8431600000000001,0.8332799999999999,0.6957399999999999
CatBoostEncoder,credit-approval,smoteSVM,SGD,NONE,NONE,0.59672,0.56666,0.5971,0.56052,0.5646399999999999,0.31858000000000003
CatBoostEncoder,credit-approval,smoteSVM,SVM,NONE,NONE,0.69292,0.6550800000000001,0.5884799999999999,0.61548,0.5411199999999999,0.29688000000000003
CatBoostEncoder,dataset_31_credit-g,smoteSVM,ABC,NONE,NONE,0.72212,0.6659999999999999,0.67208,0.67594,0.6623,0.4388199999999999
CatBoostEncoder,dataset_31_credit-g,smoteSVM,DTREE,NONE,NONE,0.65084,0.63,0.5385800000000001,0.6339,0.5625000000000001,0.32244
CatBoostEncoder,dataset_31_credit-g,smoteSVM,KNN,NONE,NONE,0.69284,0.599,0.6624399999999999,0.6134000000000001,0.62302,0.3871
CatBoostEncoder,dataset_31_credit-g,smoteSVM,LRG,NONE,NONE,0.74136,0.6620000000000001,0.7218,0.67584,0.68734,0.47026
CatBoostEncoder,dataset_31_credit-g,smoteSVM,MLP,NONE,NONE,0.7371800000000001,0.667,0.71254,0.68076,0.6873,0.47122
CatBoostEncoder,dataset_31_credit-g,smoteSVM,RF,NONE,NONE,0.6981999999999999,0.701,0.5766199999999999,0.6991599999999999,0.61866,0.38912
CatBoostEncoder,dataset_31_credit-g,smoteSVM,SGD,NONE,NONE,0.61934,0.4380000000000001,0.6715399999999999,0.35006,0.31416,0.12718000000000002
CatBoostEncoder,dataset_31_credit-g,smoteSVM,SVM,NONE,NONE,0.7338600000000001,0.6729999999999999,0.6998599999999999,0.6858199999999999,0.6840200000000001,0.46742
CatBoostEncoder,dermatology,smoteSVM,ABC,NONE,NONE,0.18978,0.28688,0.8693000000000002,0.19572,0.23754,0.18602
CatBoostEncoder,dermatology,smoteSVM,DTREE,NONE,NONE,0.94358,0.9343600000000001,0.98438,0.9347200000000001,0.9577,0.91562
CatBoostEncoder,dermatology,smoteSVM,KNN,NONE,NONE,0.7417,0.7157199999999999,0.9477,0.7198800000000001,0.8144399999999999,0.6731200000000002
CatBoostEncoder,dermatology,smoteSVM,LRG,NONE,NONE,0.91228,0.90162,0.98196,0.90284,0.93912,0.8808999999999999
CatBoostEncoder,dermatology,smoteSVM,MLP,NONE,NONE,0.9173,0.90976,0.9831799999999999,0.91096,0.94444,0.89008
CatBoostEncoder,dermatology,smoteSVM,RF,NONE,NONE,0.9642200000000001,0.95902,0.99254,0.95774,0.97408,0.9497
CatBoostEncoder,dermatology,smoteSVM,SGD,NONE,NONE,0.5828800000000001,0.57096,0.91648,0.51576,0.5783400000000001,0.48633999999999994
CatBoostEncoder,dermatology,smoteSVM,SVM,NONE,NONE,0.59372,0.5626800000000001,0.9148,0.54562,0.6614599999999999,0.51148
CatBoostEncoder,dresses-sales,smoteSVM,ABC,NONE,NONE,0.5721,0.5760000000000001,0.5445200000000001,0.5717800000000001,0.5470600000000001,0.30344
CatBoostEncoder,dresses-sales,smoteSVM,DTREE,NONE,NONE,0.51318,0.514,0.48254,0.5111399999999999,0.48654,0.24008000000000002
CatBoostEncoder,dresses-sales,smoteSVM,KNN,NONE,NONE,0.5996600000000001,0.5980000000000001,0.5775399999999999,0.59678,0.5814,0.34018000000000004
CatBoostEncoder,dresses-sales,smoteSVM,LRG,NONE,NONE,0.57534,0.574,0.5509600000000001,0.5706200000000001,0.55088,0.30472
CatBoostEncoder,dresses-sales,smoteSVM,MLP,NONE,NONE,0.5863400000000001,0.59,0.5546800000000001,0.58536,0.5594399999999999,0.31405999999999995
CatBoostEncoder,dresses-sales,smoteSVM,RF,NONE,NONE,0.5773199999999999,0.584,0.5279799999999999,0.56824,0.51994,0.2746
CatBoostEncoder,dresses-sales,smoteSVM,SGD,NONE,NONE,0.45408,0.53,0.49546,0.41936,0.1995,0.07908
CatBoostEncoder,dresses-sales,smoteSVM,SVM,NONE,NONE,0.55682,0.522,0.5553199999999999,0.50254,0.4943000000000001,0.2474200000000001
CatBoostEncoder,heart,smoteSVM,ABC,NONE,NONE,0.8226600000000001,0.81852,0.81816,0.81838,0.81684,0.66918
CatBoostEncoder,heart,smoteSVM,DTREE,NONE,NONE,0.82332,0.81484,0.8101800000000001,0.81274,0.8067,0.65376
CatBoostEncoder,heart,smoteSVM,KNN,NONE,NONE,0.5759000000000001,0.57406,0.56592,0.5724600000000001,0.5644600000000001,0.32106
CatBoostEncoder,heart,smoteSVM,LRG,NONE,NONE,0.8498399999999999,0.84816,0.8451799999999999,0.8479199999999999,0.8456199999999999,0.7168599999999999
CatBoostEncoder,heart,smoteSVM,MLP,NONE,NONE,0.7901400000000001,0.77778,0.77554,0.7754800000000001,0.7695200000000001,0.59534
CatBoostEncoder,heart,smoteSVM,RF,NONE,NONE,0.8409800000000001,0.8407399999999999,0.8342600000000001,0.84046,0.83672,0.7026600000000001
CatBoostEncoder,heart,smoteSVM,SGD,NONE,NONE,0.24194,0.48888,0.51112,0.32282,0.0,0.0
CatBoostEncoder,heart,smoteSVM,SVM,NONE,NONE,0.62144,0.6111,0.61388,0.6106199999999999,0.60774,0.37722
CatBoostEncoder,hepatitis,smoteSVM,ABC,NONE,NONE,0.7956,0.7871199999999999,0.52766,0.77552,0.58858,0.37552
CatBoostEncoder,hepatitis,smoteSVM,DTREE,NONE,NONE,0.78076,0.7806799999999999,0.496,0.7714399999999999,0.57568,0.35015999999999997
CatBoostEncoder,hepatitis,smoteSVM,KNN,NONE,NONE,0.7037399999999999,0.5935400000000001,0.50964,0.6282599999999999,0.5393600000000001,0.29677999999999993
CatBoostEncoder,hepatitis,smoteSVM,LRG,NONE,NONE,0.8319799999999999,0.8129000000000002,0.6878599999999999,0.81494,0.72744,0.54872
CatBoostEncoder,hepatitis,smoteSVM,MLP,NONE,NONE,0.7466999999999999,0.78066,0.44702,0.7604,0.46798,0.2995
